      2.5918     -9.8769      1.0430
      2.6075     -9.9803      0.4187
      2.6232     -9.9951     -0.2093
      2.6389     -9.9212     -0.8355
      2.6546     -9.7592     -1.4542
      2.6704     -9.5106     -2.0600
      2.6861     -9.1776     -2.6476
      2.7018     -8.7631     -3.2116
      2.7175     -8.2709     -3.7472
      2.7332     -7.7052     -4.2494
      2.7489     -7.0711     -4.7140
      2.7646     -6.3743     -5.1367
      2.7803     -5.6209     -5.5138
      2.7960     -4.8176     -5.8420
      2.8117     -3.9716     -6.1183
      2.8274     -3.0903     -6.3403
      2.8431     -2.1815     -6.5061
      2.8588     -1.2534     -6.6141
      2.8746     -0.3142     -6.6634
      2.8903      0.6278     -6.6535
      2.9060      1.5642     -6.5846
      2.9217      2.4868     -6.4572
      2.9374      3.3873     -6.2726
      2.9531      4.2577     -6.0322
      2.9688      5.0903     -5.7383
      2.9845      5.8778     -5.3935
      3.0002      6.6130     -5.0008
      3.0159      7.2896     -4.5637
      3.0316      7.9015     -4.0861
      3.0473      8.4432     -3.5722
      3.0631      8.9100     -3.0267
      3.0788      9.2977     -2.4542
      3.0945      9.6029     -1.8600
      3.1102      9.8228     -1.2493
      3.1259      9.9556     -0.6275
      3.1416     10.0000     -0.0001
