      0.0000    100.0000     -0.0000      0.0000
      0.1250     88.2784     11.0321      0.6895
      0.2500     78.0829     19.4827      2.4344
      0.3750     69.3333     25.8300      4.8368
      0.5000     61.9180     30.4846      7.5974
      0.6250     55.7086     33.7945     10.4969
      0.7500     50.5697     36.0515     13.3788
      0.8750     46.3666     37.4968     16.1365
      1.0000     42.9705     38.3281     18.7015
      1.1250     40.2611     38.7049     21.0340
      1.2500     38.1292     38.7548     23.1161
      1.3750     36.4772     38.5779     24.9448
      1.5000     35.2195     38.2522     26.5284
      1.6250     34.2816     37.8368     27.8817
      1.7500     33.6000     37.3759     29.0241
      1.8750     33.1212     36.9018     29.9770
      2.0000     32.8004     36.4370     30.7626
      2.1250     32.6007     35.9966     31.4027
      2.2500     32.4919     35.5903     31.9177
      2.3750     32.4500     35.2232     32.3269
      2.5000     32.4555     34.8973     32.6472
